radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,2348,28421013,0,-74.0009,40.7348,1399,23,1,1475287542,1747499462,0
LTE,310,410,2409,28935573,0,-73.9845,40.742,1000,15,1,1475741150,1769229422,0
LTE,310,410,2450,29219223,0,-73.9841,40.7534,500,34,1,1475878024,1729402824,0
LTE,310,410,2348,29229206,0,-73.9969,40.7256,1000,15,1,1476071142,1747521369,0
LTE,310,410,2351,28426133,0,-73.9927,40.7544,1000,8,1,1476382067,1747692962,0
LTE,310,410,2399,29222806,0,-73.9898,40.7373,827,48,1,1477430869,1728732245,0
LTE,310,410,2410,28784535,0,-73.9874,40.7453,1373,7,1,1477687677,1747687382,0
LTE,310,410,2409,30510232,0,-73.9885,40.7449,1000,13,1,1477687677,1747687382,0
LTE,310,410,2332,30505881,0,-74.0109,40.7212,3301,24,1,1477818454,1736047802,0
LTE,310,410,2409,30471578,0,-73.9845,40.7417,1000,8,1,1477861698,1770416041,0
