Facility ID,Facility Name,Description,Short Description,Attribute Type,Attribute Value,Measure Value,Sub Type,County,Regional Office,Effective Date
9812,St. Francis Hospital Infusion Center,Hospital Extension Clinic,HOSP-EC,Service,Radiology-Therapeutic O/P,,Processing Stations,Nassau,Metropolitan Area Regional Office - Long Island,03/06/2018
9813,Grand Island Primary Care Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Erie,Western Regional Office - Buffalo,06/29/2015
9814,CMH Twin County Sleep Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Columbia,Capital District Regional Office,05/19/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Health Education O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Immunology,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Medical Social Services O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Multiphasic Screening O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Nursing,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Primary Medical Care O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Psychology O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Venereal Disease Prevention,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9815,Seward Park Educational Campus,School Based Diagnostic and Treatment Center Extension Clinic,,Service,Well Child Care O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,06/29/2015
9816,Apex Surgical Center,Diagnostic and Treatment Center,DTC,Service,Ambulatory Surgery - Multi Specialty,,Processing Stations,Oneida,Central New York Regional Office,07/10/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,County Served,Dutchess,,,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,County Served,Orange,,,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,County Served,Rockland,,,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Baseline Services - CHHA,0,,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Home Health Aide,0,,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Medical Social Services,,Processing Stations,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Medical Supplies Equipment and Appliances,0,,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Nursing,0,,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Nutritional,,Processing Stations,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Therapy - Occupational,,Processing Stations,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Therapy - Physical,,Processing Stations,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9817,EverCare at Home,Certified Home Health Agency,CHHA,Service,Therapy - Speech Language Pathology,,Processing Stations,Orange,Metropolitan Area Regional Office - New Rochelle,07/06/2015
9818,Au Sable Forks Health Center,Primary Care Hospital - Critical Access Hospital Extension Clinic,,Service,Medical Services - Primary Care,,Processing Stations,Essex,Capital District Regional Office,05/12/2015
9819,Hudson Hill Dialysis Center,Diagnostic and Treatment Center,DTC,Service,Renal Dialysis - Chronic O/P,12,Processing Stations,Westchester,Metropolitan Area Regional Office - New Rochelle,06/30/2015
9820,"GoldStep Ambulatory Surgery Center, LLC",Diagnostic and Treatment Center,DTC,Service,Ambulatory Surgery - Multi Specialty,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,07/17/2015
9821,NSUH Imaging at Huntington,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Suffolk,Metropolitan Area Regional Office - New York City,07/21/2015
9821,NSUH Imaging at Huntington,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Suffolk,Metropolitan Area Regional Office - New York City,07/21/2015
9822,Medical Associates of Penfield,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Monroe,Western Regional Office - Rochester,07/17/2015
9823,Beacon Christian Community Health Center - Annex Site,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,Richmond,Metropolitan Area Regional Office - New York City,06/18/2015
9824,Lewiston Primary Care,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Niagara,Western Regional Office - Buffalo,08/05/2015
9825,Cassena Kidney Care at East Neck,Diagnostic and Treatment Center,DTC,Service,Renal Dialysis - Chronic O/P,11,Processing Stations,Suffolk,Metropolitan Area Regional Office - Long Island,08/06/2015
9826,Maple West Medical Complex,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Erie,Western Regional Office - Buffalo,08/24/2015
9826,Maple West Medical Complex,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Erie,Western Regional Office - Buffalo,08/24/2015
9827,Charles B Wang Community Health Center Inc,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,Queens,Metropolitan Area Regional Office - New York City,08/24/2015
9828,Rochester Regional Health / United Memorial Community Care - Bergen Family Medicine,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Genesee,Western Regional Office - Buffalo,09/01/2015
9829,Planned Parenthood Diane L. Max Queens Health Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Abortion O/P,,Processing Stations,Queens,Metropolitan Area Regional Office - New York City,01/19/2016
9829,Planned Parenthood Diane L. Max Queens Health Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,Queens,Metropolitan Area Regional Office - New York City,08/26/2015
9830,The Dr. Laurie Sands and Constellation Brands Breast Imaging Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Ontario,Western Regional Office - Rochester,08/28/2015
9831,Ivy Dialysis,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Home Peritoneal Dialysis Training and Support,,Processing Stations,Chemung,Western Regional Office - Rochester,07/01/2015
9831,Ivy Dialysis,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Renal Dialysis - Chronic O/P,20,Processing Stations,Chemung,Western Regional Office - Rochester,07/01/2015
9832,Corning Dialysis,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Renal Dialysis - Chronic O/P,10,Processing Stations,Steuben,Western Regional Office - Rochester,07/01/2015
9834,Williamsbridge Dialysis Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Renal Dialysis - Chronic O/P,25,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,08/28/2015
9835,MVHS Orthopedic Group,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Oneida,Central New York Regional Office,09/01/2015
9835,MVHS Orthopedic Group,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Oneida,Central New York Regional Office,09/01/2015
9836,"Park Avenue Dialysis Center, LLC",Diagnostic and Treatment Center,DTC,Service,Renal Dialysis - Chronic O/P,24,Processing Stations,New York,Metropolitan Area Regional Office - New York City,03/13/2018
9837,St. John's Episcopal Hospital Ambulatory Care Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Queens,Metropolitan Area Regional Office - New York City,10/07/2014
9837,St. John's Episcopal Hospital Ambulatory Care Center,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Queens,Metropolitan Area Regional Office - New York City,10/07/2014
9838,NewYork-Presbyterian Westchester Cardiac & Pulmonary Rehabilitation,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Westchester,Metropolitan Area Regional Office - New Rochelle,09/21/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Health Education O/P,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Immunology,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Medical Social Services O/P,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Multiphasic Screening O/P,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Nursing,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Primary Medical Care O/P,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Psychology O/P,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Venereal Disease Prevention,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9839,Richfield Springs Central School,School Based Hospital Extension Clinic,HOSP-SB,Service,Well Child Care O/P,,Processing Stations,Otsego,Capital District Regional Office,09/28/2015
9840,Crown Heights Child & Adolescent Health Clinic,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Audiology  O/P,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,03/02/2009
9840,Crown Heights Child & Adolescent Health Clinic,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Dental O/P,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,03/02/2009
9840,Crown Heights Child & Adolescent Health Clinic,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,Kings,Metropolitan Area Regional Office - New York City,07/14/2014
9844,Family Medicine at RIT,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Monroe,Western Regional Office - Rochester,10/19/2015
9845,New York Presbyterian / Lower Manhattan Cancer Center,Hospital Extension Clinic,HOSP-EC,Service,Radiology-Therapeutic O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,10/15/2015
9846,Outpatient Oncology Clinic - Dansville,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Livingston,Western Regional Office - Rochester,10/22/2015
9847,Outpatient Cardiology Clinic,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Monroe,Western Regional Office - Rochester,10/23/2015
9847,Outpatient Cardiology Clinic,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Monroe,Western Regional Office - Rochester,10/23/2015
9848,Northern GI Endoscopy Center,Diagnostic and Treatment Center,DTC,Service,Ambulatory Surgery - Single Specialty - Gastroenterology,,Processing Stations,Warren,Capital District Regional Office,10/23/2015
9849,The Northway Surgery and Pain Center,Diagnostic and Treatment Center,DTC,Service,Ambulatory Surgery - Multi Specialty,,Processing Stations,Saratoga,Capital District Regional Office,09/03/2020
9850,Outpatient Clinic-Building F,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Monroe,Western Regional Office - Rochester,10/21/2021
9850,Outpatient Clinic-Building F,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Monroe,Western Regional Office - Rochester,10/23/2015
9851,"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore",Hospital Extension Clinic,HOSP-EC,Service,Dental O/P,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,09/09/2015
9851,"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore",Hospital Extension Clinic,HOSP-EC,Service,Integrated Services (MH),,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,09/09/2015
9851,"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore",Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,09/09/2015
9851,"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore",Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,09/09/2015
9851,"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore",Hospital Extension Clinic,HOSP-EC,Service,Therapy - Occupational O/P,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,09/09/2015
9851,"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore",Hospital Extension Clinic,HOSP-EC,Service,Therapy - Physical O/P,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,09/09/2015
9851,"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore",Hospital Extension Clinic,HOSP-EC,Service,Therapy - Speech Language Pathology O/P,,Processing Stations,Bronx,Metropolitan Area Regional Office - New York City,09/09/2015
9852,Community Healthcare Network,Mobile Diagnostic and Treatment Center Extension Clinic,,Service,Medical Services - Primary Care,,Processing Stations,Queens,Metropolitan Area Regional Office - New York City,10/22/2015
9854,Samaritan OB/GYN,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Primary Care,,Processing Stations,Saratoga,Capital District Regional Office,09/25/2015
9855,Health Care for the Homeless Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Dental O/P,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,10/23/2015
9855,Health Care for the Homeless Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,10/23/2015
9855,Health Care for the Homeless Center,Diagnostic and Treatment Center Extension Clinic,DTC-EC,Service,Medical Services - Primary Care,,Processing Stations,New York,Metropolitan Area Regional Office - New York City,10/23/2015
9856,Liberty Resources Family Health Center,Diagnostic and Treatment Center,DTC,Service,Medical Services - Primary Care,,Processing Stations,Onondaga,Central New York Regional Office,11/06/2015
9857,Outpatient Extension Clinic-White Spruce,Hospital Extension Clinic,HOSP-EC,Service,Medical Services - Other Medical Specialties,,Processing Stations,Monroe,Western Regional Office - Rochester,05/28/2025
