node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,borough,lat,lon,flood_extreme_2080_depth_m
fuel_station_shell_0286,0.066,0.0,0,0,Shell (Shell),fuel,Queens,40.754351,-73.895078,0.2
fuel_station_unknown_gas_station_0576,0.063,0.0,0,0,Unknown Gas Station,fuel,Bronx,40.845944,-73.902346,0.2
fuel_station_mobil_0895,0.063,0.0,0,0,Mobil (Mobil),fuel,Staten Island,40.578053,-74.101828,0.2
fuel_station_citgo_0802,0.062,1.0,0,6,Citgo (Citgo),fuel,Manhattan,40.759784,-73.937198,0.2
fuel_station_unknown_gas_station_0901,0.061,0.0,0,0,Unknown Gas Station,fuel,Staten Island,40.615532,-74.084498,0.2
water_avenue_v_sewage_pumping_station,0.06,48.0,48,48,Avenue V Sewage Pumping Station,water,Brooklyn,40.59355,-73.981258,0.0
fuel_station_bp_0770,0.06,0.0,0,0,BP (BP),fuel,Brooklyn,40.596286,-73.984861,0.2
fuel_station_citgo_0851,0.06,0.0,0,0,Citgo (Citgo),fuel,Staten Island,40.612364,-74.130384,0.2
fuel_station_unknown_gas_station_1060,0.06,0.0,0,0,Unknown Gas Station,fuel,Queens,40.682828,-73.852389,0.2
telecom_cluster_02282,0.059,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.679,-73.940075,0.0
hospital_interfaith_medical_center,0.059,96.0,96,96,Interfaith Medical Center,hospital,Brooklyn,40.67844,-73.937367,0.0
telecom_cluster_02330,0.059,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.684655,-73.939682,0.0
telecom_cluster_02329,0.059,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.684788,-73.944794,0.0
telecom_cluster_02281,0.059,48.0,48,48,T-Mobile cluster,telecom,Brooklyn,40.679825,-73.9453,0.0
fuel_station_bp_1031,0.059,0.0,0,0,BP (BP),fuel,Brooklyn,40.678427,-73.944488,0.2
telecom_cluster_02967,0.058,48.0,48,48,T-Mobile cluster,telecom,Queens,40.745733,-73.904389,0.0
telecom_cluster_02968,0.058,48.0,48,48,T-Mobile cluster,telecom,Queens,40.744738,-73.900625,0.0
