node_id,name,infra_type,lat,lon,borough,flood_sandy_depth_m
telecom_cluster_0184,T-Mobile cluster,telecom,40.741,-74.0129,Manhattan,0.0
telecom_cluster_0185,T-Mobile cluster,telecom,40.740269,-74.009912,Manhattan,0.0
telecom_cluster_0186,T-Mobile cluster,telecom,40.74014,-74.004393,Manhattan,0.0
telecom_cluster_0187,T-Mobile cluster,telecom,40.740275,-74.000775,Manhattan,0.0
telecom_cluster_0188,T-Mobile cluster,telecom,40.739493,-73.994307,Manhattan,0.81
telecom_cluster_0189,T-Mobile cluster,telecom,40.740143,-73.989808,Manhattan,0.0
telecom_cluster_0190,T-Mobile cluster,telecom,40.740017,-73.985583,Manhattan,1.962
telecom_cluster_0191,T-Mobile cluster,telecom,40.73884,-73.98014,Manhattan,0.331
telecom_cluster_0192,T-Mobile cluster,telecom,40.740357,-73.974538,Manhattan,1.962
telecom_cluster_0193,T-Mobile cluster,telecom,40.74085,-73.972275,Manhattan,1.962
telecom_cluster_0194,T-Mobile cluster,telecom,40.745625,-74.0083,Manhattan,0.0
telecom_cluster_0195,T-Mobile cluster,telecom,40.74524,-74.00604,Manhattan,0.0
telecom_cluster_0196,T-Mobile cluster,telecom,40.745809,-73.999836,Manhattan,0.0
telecom_cluster_0197,T-Mobile cluster,telecom,40.745239,-73.994854,Manhattan,0.0
telecom_cluster_0198,T-Mobile cluster,telecom,40.744609,-73.989645,Manhattan,0.0
telecom_cluster_0199,T-Mobile cluster,telecom,40.745633,-73.985588,Manhattan,1.962
telecom_cluster_0200,T-Mobile cluster,telecom,40.746029,-73.981186,Manhattan,1.962
telecom_cluster_0201,T-Mobile cluster,telecom,40.744708,-73.974158,Manhattan,1.962
telecom_cluster_0202,T-Mobile cluster,telecom,40.745117,-73.971642,Manhattan,1.962
telecom_cluster_0203,T-Mobile cluster,telecom,40.75022,-74.00786,Manhattan,0.0
telecom_cluster_0204,T-Mobile cluster,telecom,40.7487,-74.003386,Manhattan,0.0
telecom_cluster_0205,T-Mobile cluster,telecom,40.749967,-74.000027,Manhattan,0.0
telecom_cluster_0206,T-Mobile cluster,telecom,40.751014,-73.99439,Manhattan,0.0
telecom_cluster_0207,T-Mobile cluster,telecom,40.750035,-73.989209,Manhattan,0.0
telecom_cluster_0208,T-Mobile cluster,telecom,40.750241,-73.985269,Manhattan,1.962
telecom_cluster_0209,T-Mobile cluster,telecom,40.750914,-73.979778,Manhattan,0.0
telecom_cluster_0210,T-Mobile cluster,telecom,40.751128,-73.975495,Manhattan,0.0
telecom_cluster_0211,T-Mobile cluster,telecom,40.749371,-73.970943,Manhattan,0.0
telecom_cluster_0212,T-Mobile cluster,telecom,40.753943,-74.005171,Manhattan,0.0
telecom_cluster_0213,T-Mobile cluster,telecom,40.753533,-74.000425,Manhattan,0.0
telecom_cluster_0214,T-Mobile cluster,telecom,40.753565,-73.995494,Manhattan,0.0
telecom_cluster_0215,T-Mobile cluster,telecom,40.753815,-73.989146,Manhattan,0.0
telecom_cluster_0216,T-Mobile cluster,telecom,40.753738,-73.985055,Manhattan,0.0
telecom_cluster_0217,T-Mobile cluster,telecom,40.753419,-73.980565,Manhattan,0.0
telecom_cluster_0218,T-Mobile cluster,telecom,40.754076,-73.974835,Manhattan,0.0
telecom_cluster_0219,T-Mobile cluster,telecom,40.753891,-73.971136,Manhattan,0.0
telecom_cluster_0220,T-Mobile Metro cluster,telecom,40.7,-73.9866,Manhattan,0.0
telecom_cluster_0221,T-Mobile Metro cluster,telecom,40.71365,-73.99415,Manhattan,0.0
telecom_cluster_0222,T-Mobile Metro cluster,telecom,40.722,-73.9811,Manhattan,1.175
telecom_cluster_0223,T-Mobile Metro cluster,telecom,40.7352,-73.9911,Manhattan,0.81
hospital_bellevue_hospital_center,Bellevue Hospital Center,hospital,40.739245,-73.975488,Manhattan,0.331
hospital_new_york_presbyterian_lower_ma,New York-Presbyterian/Lower Manhattan Hospital,hospital,40.710293,-74.004951,Manhattan,0.0
hospital_new_york_eye_and_ear_infirmary,New York Eye And Ear Infirmary Of Mount Sinai,hospital,40.731875,-73.984599,Manhattan,0.852
hospital_nyu_langone_orthopedic_hospita,Nyu Langone Orthopedic Hospital,hospital,40.734389,-73.982971,Manhattan,0.331
hospital_mount_sinai____behavioral_heal,Mount Sinai -  Behavioral Health Center,hospital,40.72068,-73.991197,Manhattan,1.175
hospital_nyu_langone_hospitals,Nyu Langone Hospitals,hospital,40.741471,-73.973622,Manhattan,1.962
hospital_lenox_health_greenwich_village,Lenox Health Greenwich Village,hospital,40.737719,-74.000864,Manhattan,0.81
hospital_mount_sinai_beth_israel,Mount Sinai Beth Israel,hospital,40.732666,-73.981598,Manhattan,0.852
subway_york_st_f,York St,subway,40.701397,-73.986751,Manhattan,0.0
subway_south_ferry_1,South Ferry,subway,40.702068,-74.013664,Manhattan,1.962
subway_whitehall_st_south_ferry_rw,Whitehall St-South Ferry,subway,40.703087,-74.012994,Manhattan,1.962
subway_bowling_green_45,Bowling Green,subway,40.704817,-74.014065,Manhattan,1.962
subway_broad_st_jz,Broad St,subway,40.706476,-74.011056,Manhattan,1.962
subway_wall_st_23,Wall St,subway,40.706821,-74.0091,Manhattan,1.962
subway_rector_st_rw,Rector St,subway,40.70722,-74.013342,Manhattan,1.962
subway_rector_st_1,Rector St,subway,40.707513,-74.013783,Manhattan,1.962
subway_wall_st_45,Wall St,subway,40.707557,-74.011862,Manhattan,1.962
subway_fulton_st_23,Fulton St,subway,40.709416,-74.006571,Manhattan,0.0
subway_fulton_st_ac,Fulton St,subway,40.710197,-74.007691,Manhattan,0.0
subway_fulton_st_45,Fulton St,subway,40.710368,-74.009509,Manhattan,0.0
subway_fulton_st_jz,Fulton St,subway,40.710374,-74.007582,Manhattan,0.0
subway_cortlandt_st_rw,Cortlandt St,subway,40.710668,-74.011029,Manhattan,1.962
