node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,lat,lon,borough,flood_sandy_depth_m
telecom_cluster_0182,1.0,0.1,0,0,T-Mobile cluster,telecom,40.7357,-73.972067,Manhattan,1.19
subway_w_4_st_wash_sq_abcdefm,1.0,0.0,0,0,W 4 St-Wash Sq,subway,40.732338,-74.000495,Manhattan,1.161
telecom_cluster_0139,1.0,0.2,0,0,T-Mobile cluster,telecom,40.715992,-73.9852,Manhattan,1.175
subway_14_st_union_sq_l,1.0,0.0,0,0,14 St-Union Sq,subway,40.734789,-73.99073,Manhattan,0.81
subway_canal_st_1,1.0,0.0,0,0,Canal St,subway,40.722854,-74.006277,Manhattan,1.962
telecom_cluster_0075,1.0,0.1,0,0,AT&T cluster,telecom,40.740653,-73.984728,Manhattan,1.962
telecom_cluster_0156,1.0,0.0,0,0,T-Mobile cluster,telecom,40.724012,-74.0039,Manhattan,1.962
subway_delancey_st_essex_st_jmz,1.0,0.0,0,0,Delancey St-Essex St,subway,40.718315,-73.987437,Manhattan,1.175
subway_canal_st_jz,1.0,0.0,0,0,Canal St,subway,40.718092,-73.999892,Manhattan,1.962
subway_rector_st_rw,1.0,0.0,0,0,Rector St,subway,40.70722,-74.013342,Manhattan,1.962
telecom_cluster_0044,1.0,0.0,0,0,AT&T cluster,telecom,40.72355,-74.0097,Manhattan,1.962
subway_city_hall_rw,1.0,0.0,0,0,City Hall,subway,40.713282,-74.006978,Manhattan,1.962
subway_34_st_herald_sq_bdfm,1.0,0.0,0,0,34 St-Herald Sq,subway,40.749719,-73.987823,Manhattan,1.962
telecom_cluster_0158,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7245,-73.995681,Manhattan,1.962
telecom_cluster_0128,1.0,0.0,0,0,T-Mobile cluster,telecom,40.709917,-73.985488,Manhattan,1.962
telecom_cluster_0125,1.0,0.0,0,0,T-Mobile cluster,telecom,40.709329,-74.000247,Manhattan,1.962
telecom_cluster_0047,1.0,0.0,0,0,AT&T cluster,telecom,40.724879,-73.996543,Manhattan,1.962
telecom_cluster_0201,1.0,0.0,0,0,T-Mobile cluster,telecom,40.744708,-73.974158,Manhattan,1.962
subway_prince_st_rw,1.0,0.0,0,0,Prince St,subway,40.724329,-73.997702,Manhattan,1.962
