                                         0             1             2                    3                    4                     5                    6                    7                     8                     9                     10                    11                   12                   13                   14                    15                    16                    17                    18                   19                    20                   21                  22
scenario                       geoclaw_2026  geoclaw_2050  geoclaw_2080  syn_ts_156_15_1p066  syn_ts_173_2_0p8859  syn_ts_192_15_2p5752  syn_ts_192_7_1p0240  syn_ts_258_9_3p0022  syn_ts_321_19_1p7614  syn_ts_436_11_1p3524  syn_ts_463_29_1p6644  syn_ts_514_13_2p7829  syn_ts_570_2_1p5351  syn_ts_605_5_3p7563  syn_ts_662_3_0p9973  syn_ts_708_13_1p1567  syn_ts_808_27_3p7885  syn_ts_810_14_1p1460  syn_ts_831_27_1p9452  syn_ts_880_9_2p6632  syn_ts_914_26_3p4047  syn_ts_914_6_1p2955  syn_ts_999_12_3p44
n_runs                                 1000          1000          1000                 1000                 1000                  1000                 1000                 1000                  1000                  1000                  1000                  1000                 1000                 1000                 1000                  1000                  1000                  1000                  1000                 1000                  1000                 1000                1000
seeds_identical                        True          True          True                 True                 True                  True                 True                 True                  True                  True                  True                  True                 True                 True                 True                  True                  True                  True                  True                 True                  True                 True                True
totals_at                              t360          t360          t360                 t360                 t360                  t360                 t360                 t360                  t360                  t360                  t360                  t360                 t360                 t360                 t360                  t360                  t360                  t360                  t360                 t360                  t360                 t360                t360
type_hospital_delta             1.1          13.6           9.4                  0.0                  0.0                   0.0                  0.1                  6.8                   0.0                   0.0                   0.0                   3.7                  0.0                  8.8                  0.0                   0.0                   9.8                   0.0                   0.0                  0.6                   9.8                  0.0                 8.6
type_power_static              37.7          45.4          53.9                 26.6                  2.6                  31.8                  3.2                 42.4                  10.8                  17.5                  11.4                  40.2                  4.3                 57.3                  2.5                   5.2                  51.2                   2.6                  28.7                 37.6                  49.2                  5.5                44.3
type_power_dynamic             39.6          68.8          77.6                 27.8                  2.6                  38.6                  3.2                 62.2                  10.8                  17.4                  15.8                  53.5                  4.5                 81.7                  2.5                   5.2                  73.6                   2.6                  28.7                 45.0                  71.7                  5.5                67.2
type_power_delta                1.9          23.4          23.7                  1.2                  0.0                   6.8                  0.0                 19.8                  -0.0                  -0.0                   4.3                  13.3                  0.2                 24.4                  0.0                   0.0                  22.3                   0.0                   0.0                  7.4                  22.5                  0.0                22.9
type_subway_static            321.9         334.9         365.9                248.9                 10.0                 285.4                 17.0                328.2                 112.4                 171.6                 117.7                 320.8                 55.2                359.0                  9.6                  65.0                 342.7                  10.0                 264.0                311.4                 339.7                 67.2               331.3
type_subway_dynamic           346.2         441.5         444.8                250.8                 10.2                 288.5                 17.5                396.7                 112.5                 171.8                 117.7                 360.3                 55.9                444.6                  9.7                  63.9                 441.7                  10.2                 265.2                320.1                 435.2                 67.6               414.8
type_subway_delta              24.3         106.6          78.9                  1.9                  0.2                   3.1                  0.5                 68.5                   0.1                   0.2                   0.0                  39.5                  0.8                 85.6                  0.2                  -1.1                  99.0                   0.2                   1.2                  8.6                  95.5                  0.4                83.5
type_telecom_static          1430.4        1540.3        1739.1               1075.6                 85.7                1272.8                126.1               1549.1                 399.3                 688.9                 426.4                1506.2                162.8               1714.0                 81.9                 183.0                1632.8                  85.6                1153.7               1442.6                1611.8                190.0              1569.8
type_telecom_dynamic         1501.0        2328.0        2400.5               1085.6                 87.4                1295.6                130.5               2028.2                 406.8                 698.4                 448.1                1776.7                171.5               2445.3                 83.5                 189.8                2392.9                  87.4                1160.0               1496.1                2327.4                196.5              2182.0
type_telecom_delta             70.6         787.7         661.4                  9.9                  1.7                  22.8                  4.5                479.1                   7.5                   9.5                  21.7                 270.5                  8.7                731.3                  1.6                   6.7                 760.1                   1.8                   6.3                 53.5                 715.6                  6.5               612.3
type_water_static              75.3          80.4          85.5                 56.8                 11.7                  63.7                 14.0                 79.2                  30.9                  42.5                  31.9                  77.2                 17.3                 85.5                 11.5                  19.4                  81.1                  11.7                  59.6                 73.1                  81.4                 20.2                79.8
type_water_dynamic             79.0         123.7         124.9                 56.8                 11.7                  63.8                 14.0                106.7                  30.9                  42.5                  31.9                  92.7                 17.3                126.5                 11.5                  19.4                 125.7                  11.7                  59.6                 76.0                 123.0                 20.2               114.9
type_water_delta                3.7          43.3          39.4                  0.0                  0.0                   0.0                  0.0                 27.5                   0.0                   0.0                   0.0                  15.5                  0.0                 41.0                  0.0                   0.0                  44.7                   0.0                   0.0                  2.9                  41.7                  0.0                35.1

wrote analysis/static_vs_dynamic_v1/campaign_arrival_vs_staticpeak_h360_n1000_v1.csv
