arm=static_mask  head=hazard  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=unset  ckpt=/scratch/tj2587/results/gnn_hazard_v1/static_mask  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 695,960  head=hazard
Device: cuda
  Ep02 step 12200/13600: loss = 0.08260
  Ep02 step 12300/13600: loss = 0.08158
  Ep02 step 12400/13600: loss = 0.08163
  Ep02 step 12500/13600: loss = 0.08348
  Ep02 step 12600/13600: loss = 0.08023
  Ep02 step 12700/13600: loss = 0.08468
  Ep02 step 12800/13600: loss = 0.08360
  Ep02 step 12900/13600: loss = 0.08546
  Ep02 step 13000/13600: loss = 0.08330
  Ep02 step 13100/13600: loss = 0.08277
  Ep02 step 13200/13600: loss = 0.08347
  Ep02 step 13300/13600: loss = 0.08417
  Ep02 step 13400/13600: loss = 0.08105
  Ep02 step 13500/13600: loss = 0.08315
  Ep02 step 13600/13600: loss = 0.08224

Epoch 02/6 | train=0.08327 val=0.10992 | AUC=['0.999', '0.996', '0.991', '0.989'] PR=['0.988', '0.964', '0.948', '0.950'] | CASCADE-only AUC=['0.998', '0.993', '0.988', '0.985'] PR=['0.952', '0.917', '0.898', '0.913'] | mono_viol=0.00000 | 2009s

  Ep03 step  100/13600: loss = 0.08489
  Ep03 step  200/13600: loss = 0.08364
  Ep03 step  300/13600: loss = 0.08107
  Ep03 step  400/13600: loss = 0.08222
  Ep03 step  500/13600: loss = 0.08469
  Ep03 step  600/13600: loss = 0.08513
  Ep03 step  700/13600: loss = 0.08302
  Ep03 step  800/13600: loss = 0.08484
  Ep03 step  900/13600: loss = 0.08284
  Ep03 step 1000/13600: loss = 0.08508
  Ep03 step 1100/13600: loss = 0.08290
  Ep03 step 1200/13600: loss = 0.08325
  Ep03 step 1300/13600: loss = 0.08299
  Ep03 step 1400/13600: loss = 0.08340
  Ep03 step 1500/13600: loss = 0.08189
  Ep03 step 1600/13600: loss = 0.08024
  Ep03 step 1700/13600: loss = 0.08008
  Ep03 step 1800/13600: loss = 0.08310
  Ep03 step 1900/13600: loss = 0.08049
  Ep03 step 2000/13600: loss = 0.08376
  Ep03 step 2100/13600: loss = 0.08095
  Ep03 step 2200/13600: loss = 0.08309
  Ep03 step 2300/13600: loss = 0.08125
  Ep03 step 2400/13600: loss = 0.07922
  Ep03 step 2500/13600: loss = 0.08098
  Ep03 step 2600/13600: loss = 0.08202
  Ep03 step 2700/13600: loss = 0.08409
  Ep03 step 2800/13600: loss = 0.08376
  Ep03 step 2900/13600: loss = 0.08403
  Ep03 step 3000/13600: loss = 0.08187
  Ep03 step 3100/13600: loss = 0.08409
  Ep03 step 3200/13600: loss = 0.08372
  Ep03 step 3300/13600: loss = 0.08580
  Ep03 step 3400/13600: loss = 0.08177
  Ep03 step 3500/13600: loss = 0.08448
  Ep03 step 3600/13600: loss = 0.07976
  Ep03 step 3700/13600: loss = 0.08572
  Ep03 step 3800/13600: loss = 0.08331
  Ep03 step 3900/13600: loss = 0.08159
  Ep03 step 4000/13600: loss = 0.08410
  Ep03 step 4100/13600: loss = 0.08634
  Ep03 step 4200/13600: loss = 0.08604
