arm=dynamic_timing  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep01 step 4700/13600: loss = 0.15079
  Ep01 step 4800/13600: loss = 0.14825
  Ep01 step 4900/13600: loss = 0.15061
  Ep01 step 5000/13600: loss = 0.13499
  Ep01 step 5100/13600: loss = 0.14823
  Ep01 step 5200/13600: loss = 0.14451
  Ep01 step 5300/13600: loss = 0.14999
  Ep01 step 5400/13600: loss = 0.14067
  Ep01 step 5500/13600: loss = 0.13948
  Ep01 step 5600/13600: loss = 0.14749
  Ep01 step 5700/13600: loss = 0.14339
  Ep01 step 5800/13600: loss = 0.14515
  Ep01 step 5900/13600: loss = 0.14576
  Ep01 step 6000/13600: loss = 0.15079
  Ep01 step 6100/13600: loss = 0.14964
  Ep01 step 6200/13600: loss = 0.14282
  Ep01 step 6300/13600: loss = 0.15477
  Ep01 step 6400/13600: loss = 0.14525
  Ep01 step 6500/13600: loss = 0.15454
  Ep01 step 6600/13600: loss = 0.15286
  Ep01 step 6700/13600: loss = 0.14640
  Ep01 step 6800/13600: loss = 0.13674
  Ep01 step 6900/13600: loss = 0.15749
  Ep01 step 7000/13600: loss = 0.15496
  Ep01 step 7100/13600: loss = 0.14928
  Ep01 step 7200/13600: loss = 0.14015
  Ep01 step 7300/13600: loss = 0.14076
  Ep01 step 7400/13600: loss = 0.14104
  Ep01 step 7500/13600: loss = 0.15776
  Ep01 step 7600/13600: loss = 0.14307
  Ep01 step 7700/13600: loss = 0.14933
  Ep01 step 7800/13600: loss = 0.15508
  Ep01 step 7900/13600: loss = 0.14562
  Ep01 step 8000/13600: loss = 0.14448
  Ep01 step 8100/13600: loss = 0.14949
  Ep01 step 8200/13600: loss = 0.14490
  Ep01 step 8300/13600: loss = 0.14862
  Ep01 step 8400/13600: loss = 0.14102
  Ep01 step 8500/13600: loss = 0.13745
  Ep01 step 8600/13600: loss = 0.14625
  Ep01 step 8700/13600: loss = 0.15097
  Ep01 step 8800/13600: loss = 0.14568
  Ep01 step 8900/13600: loss = 0.15097
  Ep01 step 9000/13600: loss = 0.14856
  Ep01 step 9100/13600: loss = 0.14057
