node_id,infra_type,lat,lon,flood_depth_m,cascade_fail_freq,betweenness_centrality
fuel_station_exxon_0503,fuel,40.85096,-73.93559,0.0,0.945,0.0
fuel_station_mobil_0301,fuel,40.86705,-73.95387,0.0,0.945,0.0
fuel_station_mobil_0579,fuel,40.84929,-73.91653,0.0,0.945,0.0
fuel_station_mobil_0808,fuel,40.8856,-73.9001,0.0,0.945,0.0
fuel_station_shell_0116,fuel,40.8452,-73.93852,0.0,0.945,0.0
fuel_station_sunoco_0626,fuel,40.84577,-73.91413,0.0,0.945,0.0
fuel_station_sunoco_0834,fuel,40.87045,-73.91481,0.0,0.945,0.0
fuel_station_unknown_gas_station_0512,fuel,40.85358,-73.93439,0.0,0.945,0.0
fuel_station_unknown_gas_station_0612,fuel,40.83685,-73.92163,0.0,0.945,0.0
fuel_station_unknown_gas_station_0613,fuel,40.84736,-73.91223,0.0,0.945,0.0
fuel_station_unknown_gas_station_0739,fuel,40.84212,-73.92288,0.0,0.945,0.0
fuel_station_unknown_gas_station_0985,fuel,40.86299,-73.92024,0.0,0.945,0.0
fuel_station_unknown_gas_station_1151,fuel,40.86916,-73.90734,0.0,0.945,0.0
hospital_montefiore_medical_center___henry___lucy,hospital,40.88043,-73.87989,0.0,0.945,0.0
hospital_north_central_bronx_hospital,hospital,40.88046,-73.88109,0.0,0.945,0.0
power_academy,power,40.86002,-73.91914,0.0,0.945,0.0
subway_167_st_4,subway,40.83554,-73.9214,0.0,0.945,0.0
subway_168_st_ac,subway,40.84072,-73.93956,0.0,0.945,0.0
subway_168_st_washington_hts_1,subway,40.84056,-73.94013,0.0,0.945,0.0
subway_170_st_4,subway,40.84007,-73.91779,0.0,0.945,0.0
subway_175_st_a,subway,40.84739,-73.9397,0.0,0.945,0.0
subway_181_st_1,subway,40.84951,-73.9336,0.0,0.945,0.0
subway_181_st_a,subway,40.85169,-73.93797,0.0,0.945,0.0
subway_190_st_a,subway,40.85902,-73.93418,0.0,0.945,0.0
subway_191_st_1,subway,40.85522,-73.92941,0.0,0.945,0.0
subway_207_st_1,subway,40.86462,-73.91882,0.0,0.945,0.0
subway_215_st_1,subway,40.86944,-73.91528,0.0,0.945,0.0
subway_231_st_1,subway,40.87886,-73.90483,0.0,0.945,0.0
subway_238_st_1,subway,40.88467,-73.90087,0.0,0.945,0.0
subway_burnside_av_4,subway,40.85345,-73.90768,0.0,0.945,0.0
subway_dyckman_st_1,subway,40.86053,-73.92554,0.0,0.945,0.0
subway_dyckman_st_a,subway,40.86549,-73.92727,0.0,0.945,0.0
subway_fordham_rd_4,subway,40.8628,-73.90103,0.0,0.945,0.0
subway_inwood_207_st_a,subway,40.86807,-73.9199,0.0,0.945,0.0
subway_kingsbridge_rd_4,subway,40.86776,-73.89717,0.0,0.945,0.0
subway_marble_hill_225_st_1,subway,40.87456,-73.90983,0.0,0.945,0.0
subway_mt_eden_av_4,subway,40.84443,-73.91469,0.0,0.945,0.0
subway_van_cortlandt_park_242_st_1,subway,40.88925,-73.89858,0.0,0.945,0.0
telecom_cluster_01281,telecom,40.8353,-73.9331,0.0,0.945,0.0
telecom_cluster_01282,telecom,40.8346,-73.922,0.0,0.945,0.0
telecom_cluster_01303,telecom,40.83895,-73.9328,0.0,0.945,0.0
telecom_cluster_01304,telecom,40.83943,-73.92933,0.0,0.945,0.0
telecom_cluster_01324,telecom,40.84567,-73.9503,0.0,0.945,0.0
telecom_cluster_01325,telecom,40.8446,-73.9446,0.0,0.945,0.0
telecom_cluster_01326,telecom,40.8474,-73.9344,0.0,0.945,0.0
telecom_cluster_01327,telecom,40.84501,-73.92953,0.0,0.945,0.0
telecom_cluster_01328,telecom,40.84578,-73.92455,0.0,0.945,0.0
telecom_cluster_01329,telecom,40.84513,-73.9214,0.0,0.945,0.0
telecom_cluster_01330,telecom,40.84455,-73.9145,0.0,0.945,0.0
telecom_cluster_01355,telecom,40.85124,-73.95366,0.0,0.945,0.0
telecom_cluster_01356,telecom,40.85058,-73.9492,0.0,0.945,0.0
telecom_cluster_01357,telecom,40.84976,-73.94507,0.0,0.945,0.0
telecom_cluster_01358,telecom,40.849,-73.94027,0.0,0.945,0.0
telecom_cluster_01359,telecom,40.84817,-73.93503,0.0,0.945,0.0
telecom_cluster_01360,telecom,40.8484,-73.9317,0.0,0.945,0.0
telecom_cluster_01361,telecom,40.8504,-73.92463,0.0,0.945,0.0
telecom_cluster_01380,telecom,40.85305,-73.9568,0.0,0.945,0.0
telecom_cluster_01381,telecom,40.8528,-73.9516,0.0,0.945,0.0
telecom_cluster_01382,telecom,40.8574,-73.9449,0.0,0.945,0.0
telecom_cluster_01384,telecom,40.8555,-73.9324,0.0,0.945,0.0
telecom_cluster_01385,telecom,40.8548,-73.91885,0.0,0.945,0.0
telecom_cluster_01402,telecom,40.85905,-73.9466,0.0,0.945,0.0
telecom_cluster_01403,telecom,40.85843,-73.92947,0.0,0.945,0.0
telecom_cluster_01404,telecom,40.8603,-73.92407,0.0,0.945,0.0
telecom_cluster_01405,telecom,40.86135,-73.92115,0.0,0.945,0.0
telecom_cluster_01432,telecom,40.8671,-73.9543,0.0,0.945,0.0
telecom_cluster_01433,telecom,40.8653,-73.9434,0.0,0.945,0.0
telecom_cluster_01434,telecom,40.8657,-73.9403,0.0,0.945,0.0
telecom_cluster_01435,telecom,40.865,-73.9282,0.0,0.945,0.0
telecom_cluster_01436,telecom,40.86505,-73.925,0.0,0.945,0.0
telecom_cluster_01437,telecom,40.8657,-73.9187,0.0,0.945,0.0
telecom_cluster_01438,telecom,40.8671,-73.9143,0.0,0.945,0.0
telecom_cluster_01439,telecom,40.8647,-73.9102,0.0,0.945,0.0
telecom_cluster_01440,telecom,40.8647,-73.9016,0.0,0.945,0.0
telecom_cluster_01461,telecom,40.8716,-73.9525,0.0,0.945,0.0
telecom_cluster_01462,telecom,40.868,-73.9404,0.0,0.945,0.0
telecom_cluster_01463,telecom,40.86855,-73.93115,0.0,0.945,0.0
telecom_cluster_01464,telecom,40.8681,-73.9253,0.0,0.945,0.0
telecom_cluster_01465,telecom,40.8695,-73.9207,0.0,0.945,0.0
telecom_cluster_01466,telecom,40.8679,-73.9174,0.0,0.945,0.0
telecom_cluster_01486,telecom,40.8754,-73.9505,0.0,0.945,0.0
telecom_cluster_01487,telecom,40.8737,-73.942,0.0,0.945,0.0
telecom_cluster_01488,telecom,40.8736,-73.9374,0.0,0.945,0.0
telecom_cluster_01489,telecom,40.87615,-73.90375,0.0,0.945,0.0
telecom_cluster_01490,telecom,40.8747,-73.90155,0.0,0.945,0.0
telecom_cluster_01506,telecom,40.8792,-73.9376,0.0,0.945,0.0
telecom_cluster_01507,telecom,40.8819,-73.9362,0.0,0.945,0.0
telecom_cluster_01525,telecom,40.8864,-73.9387,0.0,0.945,0.0
telecom_cluster_01527,telecom,40.8859,-73.8929,0.0,0.945,0.0
telecom_cluster_01528,telecom,40.8861,-73.8828,0.0,0.945,0.0
telecom_cluster_01551,telecom,40.8889,-73.9395,0.0,0.945,0.0
telecom_cluster_01552,telecom,40.8881,-73.8946,0.0,0.945,0.0
telecom_cluster_01553,telecom,40.8907,-73.8828,0.0,0.945,0.0
telecom_cluster_01576,telecom,40.8933,-73.889,0.0,0.945,0.0
telecom_cluster_01598,telecom,40.9022,-73.9364,0.0,0.945,0.0
telecom_cluster_01599,telecom,40.8984,-73.8771,0.0,0.945,0.0
telecom_cluster_01620,telecom,40.9032,-73.9003,0.0,0.945,0.0
telecom_cluster_01636,telecom,40.9096,-73.8764,0.0,0.945,0.0
telecom_cluster_01661,telecom,40.9189,-73.8688,0.0,0.945,0.0
telecom_cluster_03622,telecom,40.8274,-73.9125,0.0,0.945,0.0
telecom_cluster_03675,telecom,40.8354,-73.9376,0.0,0.945,0.0
telecom_cluster_03677,telecom,40.83512,-73.93188,0.0,0.945,0.0
telecom_cluster_03678,telecom,40.83431,-73.92313,0.0,0.945,0.0
telecom_cluster_03679,telecom,40.83533,-73.92151,0.0,0.945,0.0
telecom_cluster_03705,telecom,40.8402,-73.952,0.0,0.945,0.0
telecom_cluster_03706,telecom,40.8403,-73.94635,0.0,0.945,0.0
telecom_cluster_03707,telecom,40.83835,-73.93528,0.0,0.945,0.0
telecom_cluster_03708,telecom,40.84027,-73.93032,0.0,0.945,0.0
telecom_cluster_03709,telecom,40.83897,-73.91869,0.0,0.945,0.0
telecom_cluster_03710,telecom,40.84137,-73.91681,0.0,0.945,0.0
telecom_cluster_03733,telecom,40.8442,-73.9539,0.0,0.945,0.0
telecom_cluster_03734,telecom,40.8447,-73.944,0.0,0.945,0.0
telecom_cluster_03735,telecom,40.84567,-73.93473,0.0,0.945,0.0
telecom_cluster_03736,telecom,40.84464,-73.93075,0.0,0.945,0.0
telecom_cluster_03737,telecom,40.84557,-73.9257,0.0,0.945,0.0
telecom_cluster_03738,telecom,40.8447,-73.9224,0.0,0.945,0.0
telecom_cluster_03739,telecom,40.84444,-73.91506,0.0,0.945,0.0
telecom_cluster_03761,telecom,40.8522,-73.9553,0.0,0.945,0.0
telecom_cluster_03762,telecom,40.85117,-73.9495,0.0,0.945,0.0
telecom_cluster_03763,telecom,40.84916,-73.94499,0.0,0.945,0.0
telecom_cluster_03764,telecom,40.84886,-73.93992,0.0,0.945,0.0
telecom_cluster_03765,telecom,40.84817,-73.9363,0.0,0.945,0.0
telecom_cluster_03767,telecom,40.85217,-73.9214,0.0,0.945,0.0
telecom_cluster_03794,telecom,40.8544,-73.9547,0.0,0.945,0.0
telecom_cluster_03795,telecom,40.8571,-73.9505,0.0,0.945,0.0
telecom_cluster_03796,telecom,40.85573,-73.94583,0.0,0.945,0.0
telecom_cluster_03798,telecom,40.85707,-73.9305,0.0,0.945,0.0
telecom_cluster_03799,telecom,40.85483,-73.91962,0.0,0.945,0.0
telecom_cluster_03801,telecom,40.85554,-73.90586,0.0,0.945,0.0
telecom_cluster_03817,telecom,40.8602,-73.9551,0.0,0.945,0.0
telecom_cluster_03818,telecom,40.8587,-73.9378,0.0,0.945,0.0
telecom_cluster_03820,telecom,40.86022,-73.92607,0.0,0.945,0.0
telecom_cluster_03822,telecom,40.86018,-73.91513,0.0,0.945,0.0
telecom_cluster_03824,telecom,40.86155,-73.9019,0.0,0.945,0.0
telecom_cluster_03848,telecom,40.8657,-73.9434,0.0,0.945,0.0
telecom_cluster_03849,telecom,40.8657,-73.93795,0.0,0.945,0.0
telecom_cluster_03850,telecom,40.8636,-73.9344,0.0,0.945,0.0
telecom_cluster_03851,telecom,40.86591,-73.92959,0.0,0.945,0.0
telecom_cluster_03852,telecom,40.86675,-73.92305,0.0,0.945,0.0
telecom_cluster_03854,telecom,40.86527,-73.9106,0.0,0.945,0.0
telecom_cluster_03855,telecom,40.86476,-73.89975,0.0,0.945,0.0
telecom_cluster_03877,telecom,40.8699,-73.9533,0.0,0.945,0.0
telecom_cluster_03878,telecom,40.8694,-73.9478,0.0,0.945,0.0
telecom_cluster_03879,telecom,40.8703,-73.9375,0.0,0.945,0.0
telecom_cluster_03880,telecom,40.8696,-73.9362,0.0,0.945,0.0
telecom_cluster_03881,telecom,40.8682,-73.9315,0.0,0.945,0.0
telecom_cluster_03882,telecom,40.8685,-73.9249,0.0,0.945,0.0
telecom_cluster_03883,telecom,40.86905,-73.92135,0.0,0.945,0.0
telecom_cluster_03884,telecom,40.86991,-73.90879,0.0,0.945,0.0
telecom_cluster_03885,telecom,40.8724,-73.9065,0.0,0.945,0.0
telecom_cluster_03904,telecom,40.8731,-73.9518,0.0,0.945,0.0
telecom_cluster_03905,telecom,40.87567,-73.91963,0.0,0.945,0.0
telecom_cluster_03907,telecom,40.87403,-73.91085,0.0,0.945,0.0
telecom_cluster_03908,telecom,40.8747,-73.90538,0.0,0.945,0.0
telecom_cluster_03925,telecom,40.8823,-73.9226,0.0,0.945,0.0
telecom_cluster_03926,telecom,40.87828,-73.92142,0.0,0.945,0.0
telecom_cluster_03927,telecom,40.87868,-73.90323,0.0,0.945,0.0
telecom_cluster_03949,telecom,40.8832,-73.9343,0.0,0.945,0.0
