node_id,infra_type,lon,lat,flood_depth_m,flooded
power_north_queens,power,-73.90642003799996,40.78203031100003,0.0,False
power_fresh_meadows,power,-73.79658075499998,40.73931470700006,0.0,False
power_bayside,power,-73.77080116899998,40.75970038500003,0.0,False
power_chisholm,power,-73.85090958099994,40.784206665000056,0.6,True
power_causeway,power,-73.84184222099998,40.77887284800005,0.0,False
power_whitestone,power,-73.81209837099993,40.78876935900007,0.0,False
power_auburndale,power,-73.79932326499994,40.77652888400007,0.0,False
power_beechhurst,power,-73.79532694999995,40.785512578000066,0.0,False
power_clearview,power,-73.78057743599999,40.777060669000036,0.0,False
power_flushing,power,-73.83610450799995,40.764320256000076,0.0,False
power_douglaston,power,-73.74229738699995,40.76524206500005,0.0,False
power_oakland,power,-73.76205682599993,40.747900755000046,0.0,False
power_alley_park,power,-73.76148466399997,40.74372325400003,0.0,False
power_north_hills,power,-73.73738487499998,40.74865482600006,0.0,False
power_parkway,power,-73.72755649799996,40.74031520200003,0.0,False
power_glen_oaks,power,-73.71718520399997,40.74386873000003,0.0,False
power_floral_park,power,-73.70695172499995,40.737337826000044,0.0,False
power_hillcrest,power,-73.80440516099998,40.72426097700003,0.6,True
power_cunningham,power,-73.78404694899996,40.72795676100003,0.0,False
power_union,power,-73.75846060699996,40.73350680400006,0.0,False
power_hollis,power,-73.75487909599997,40.713359215000025,0.0,False
power_far_rockaway,power,-73.76011309899997,40.61045706300007,0.0,False
power_rockaway_beach,power,-73.83380485699996,40.58274806600008,0.0,False
power_long_island_railroad,power,-73.84453460099996,40.68909328900003,0.0,False
power_creedmoor,power,-73.72519343799996,40.73404071300007,0.0,False
power_unknown135514,power,-73.76570909299994,40.71058760200003,0.0,False
power_151st_avenue,power,-73.85505536899996,40.66686019200006,0.0,False
power_160th_avenue,power,-73.84759834799996,40.65659015600005,0.2,True
power_woodhaven,power,-73.84395695999996,40.689826194000034,0.2,True
power_howard_beach,power,-73.84001439099995,40.66286118900007,0.0,False
power_centerville,power,-73.83642520299998,40.67459511700008,0.0,False
power_unknown135522,power,-73.82521607299998,40.69500002800004,0.0,False
power_aqueduct,power,-73.82035326299996,40.670203180000044,0.0,False
power_lefferts,power,-73.81911655399995,40.67657204400007,0.0,False
power_sutphin,power,-73.79546982299996,40.68902310500005,0.0,False
power_unknown135527,power,-73.79062059499995,40.67585695200006,0.0,False
power_brinkerhoff,power,-73.78800703699994,40.69466081100006,0.2,True
power_cedar_manor,power,-73.78515470699995,40.68897023300008,0.0,False
power_springfield,power,-73.76087761599996,40.67900468400006,0.0,False
power_146th_avenue,power,-73.75463202699996,40.65992496400003,0.0,False
power_montefiore,power,-73.75084527599995,40.683850120000045,0.0,False
power_cambria,power,-73.74675333899995,40.696533689000034,0.0,False
