node_id,flood_syn_ts_173_2_0p8859_depth_m,flood_syn_ts_662_3_0p9973_depth_m,flood_syn_ts_192_7_1p0240_depth_m,flood_syn_ts_156_15_1p066_depth_m,flood_syn_ts_810_14_1p1460_depth_m,flood_syn_ts_708_13_1p1567_depth_m,flood_syn_ts_914_6_1p2955_depth_m,flood_syn_ts_436_11_1p3524_depth_m,flood_syn_ts_570_2_1p5351_depth_m,flood_syn_ts_463_29_1p6644_depth_m,flood_syn_ts_321_19_1p7614_depth_m,flood_syn_ts_831_27_1p9452_depth_m,flood_syn_ts_192_15_2p5752_depth_m,flood_syn_ts_880_9_2p6632_depth_m,flood_syn_ts_514_13_2p7829_depth_m,flood_syn_ts_258_9_3p0022_depth_m,flood_syn_ts_914_26_3p4047_depth_m,flood_syn_ts_999_12_3p44_depth_m,flood_syn_ts_605_5_3p7563_depth_m,flood_syn_ts_808_27_3p7885_depth_m,flood_geoclaw_2026_depth_m,flood_geoclaw_2050_depth_m,flood_geoclaw_2080_depth_m
power_auburndale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_beechhurst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_clearview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_flushing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4197185635566711,0.0,0.0,0.09942770004272461,0.563732385635376
power_douglaston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_oakland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_alley_park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_north_hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_parkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_glen_oaks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_floral_park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_hillcrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_hollis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_far_rockaway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4465150833129883,0.9414815902709961
power_rockaway_beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.854375958442688,1.3282400369644165,1.8178304433822632
power_long_island_railroad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_creedmoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_unknown135514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_151st_avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493149399757385,0.4445154070854187,0.5925166010856628,0.7242854833602905,0.9917008876800536,0.795616090297699,1.810368537902832,1.0970783233642578,2.223994493484497,2.6146254539489746,3.1072256565093994
power_160th_avenue,0.0,0.0,0.0,0.2289295643568039,0.0,0.0,0.0,0.0358441211283206,0.0,0.0,0.0,0.2984165549278259,0.4636397957801819,0.7588402628898621,0.9068414568901062,1.038610339164734,1.306025743484497,1.109941005706787,2.1246933937072754,1.4114031791687012,1.754872441291809,2.153297781944275,2.599378228187561
