fips_code,county,state,customers_out,run_start_time
25025,Suffolk,Massachusetts,97,2018-01-05 01:00:00
25025,Suffolk,Massachusetts,100,2018-01-05 01:15:00
25025,Suffolk,Massachusetts,103,2018-01-05 01:30:00
25025,Suffolk,Massachusetts,104,2018-01-05 01:45:00
25025,Suffolk,Massachusetts,103,2018-01-05 02:00:00
25025,Suffolk,Massachusetts,104,2018-01-05 02:15:00
25025,Suffolk,Massachusetts,105,2018-01-05 02:30:00
25025,Suffolk,Massachusetts,49,2018-01-05 02:45:00
25025,Suffolk,Massachusetts,48,2018-01-05 03:00:00
25025,Suffolk,Massachusetts,16,2018-01-05 03:15:00
25025,Suffolk,Massachusetts,52,2018-01-05 03:30:00
25025,Suffolk,Massachusetts,53,2018-01-05 03:45:00
25025,Suffolk,Massachusetts,25,2018-01-05 04:00:00
25025,Suffolk,Massachusetts,10,2018-01-05 04:15:00
25025,Suffolk,Massachusetts,9,2018-01-05 04:30:00
25025,Suffolk,Massachusetts,484,2018-01-05 04:45:00
25025,Suffolk,Massachusetts,483,2018-01-05 05:00:00
25025,Suffolk,Massachusetts,484,2018-01-05 05:15:00
25025,Suffolk,Massachusetts,3,2018-01-05 05:30:00
25025,Suffolk,Massachusetts,3,2018-01-05 05:45:00
25025,Suffolk,Massachusetts,2,2018-01-05 06:00:00
25025,Suffolk,Massachusetts,1,2018-01-05 06:15:00
25025,Suffolk,Massachusetts,1,2018-01-05 13:00:00
25025,Suffolk,Massachusetts,1,2018-01-05 13:15:00
25025,Suffolk,Massachusetts,6,2018-01-05 13:30:00
25025,Suffolk,Massachusetts,6,2018-01-05 13:45:00
25025,Suffolk,Massachusetts,6,2018-01-05 14:00:00
25025,Suffolk,Massachusetts,5,2018-01-05 14:15:00
25025,Suffolk,Massachusetts,23,2018-01-05 14:30:00
25025,Suffolk,Massachusetts,23,2018-01-05 14:45:00
25025,Suffolk,Massachusetts,23,2018-01-05 15:00:00
25025,Suffolk,Massachusetts,23,2018-01-05 15:15:00
25025,Suffolk,Massachusetts,23,2018-01-05 15:30:00
25025,Suffolk,Massachusetts,23,2018-01-05 15:45:00
25025,Suffolk,Massachusetts,24,2018-01-05 16:00:00
25025,Suffolk,Massachusetts,24,2018-01-05 16:15:00
25025,Suffolk,Massachusetts,23,2018-01-05 16:30:00
25025,Suffolk,Massachusetts,23,2018-01-05 16:45:00
25025,Suffolk,Massachusetts,22,2018-01-05 17:00:00
25025,Suffolk,Massachusetts,22,2018-01-05 17:15:00
25025,Suffolk,Massachusetts,22,2018-01-05 17:30:00
25025,Suffolk,Massachusetts,22,2018-01-05 17:45:00
