arm=static_timing  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=1  ckpt=/scratch/tj2587/results/gnn_2x2_v1/static_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep02 step 10800/13600: loss = 0.07616
  Ep02 step 10900/13600: loss = 0.07217
  Ep02 step 11000/13600: loss = 0.07638
  Ep02 step 11100/13600: loss = 0.07620
  Ep02 step 11200/13600: loss = 0.07232
  Ep02 step 11300/13600: loss = 0.07663
  Ep02 step 11400/13600: loss = 0.07700
  Ep02 step 11500/13600: loss = 0.07528
  Ep02 step 11600/13600: loss = 0.07772
  Ep02 step 11700/13600: loss = 0.07294
  Ep02 step 11800/13600: loss = 0.07389
  Ep02 step 11900/13600: loss = 0.07373
  Ep02 step 12000/13600: loss = 0.07442
  Ep02 step 12100/13600: loss = 0.07448
  Ep02 step 12200/13600: loss = 0.07442
  Ep02 step 12300/13600: loss = 0.07406
  Ep02 step 12400/13600: loss = 0.07378
  Ep02 step 12500/13600: loss = 0.07708
  Ep02 step 12600/13600: loss = 0.07233
  Ep02 step 12700/13600: loss = 0.07724
  Ep02 step 12800/13600: loss = 0.07674
  Ep02 step 12900/13600: loss = 0.07783
  Ep02 step 13000/13600: loss = 0.07461
  Ep02 step 13100/13600: loss = 0.07479
  Ep02 step 13200/13600: loss = 0.07357
  Ep02 step 13300/13600: loss = 0.07508
  Ep02 step 13400/13600: loss = 0.07137
  Ep02 step 13500/13600: loss = 0.07494
  Ep02 step 13600/13600: loss = 0.07501

Epoch 02/6 | train=0.07518 val=0.10217 | AUC=['0.999', '0.997', '0.993', '0.989'] PR=['0.989', '0.972', '0.957', '0.954'] | CASCADE-only AUC=['0.998', '0.995', '0.990', '0.986'] PR=['0.956', '0.934', '0.916', '0.922'] | 2652s

  Ep03 step  100/13600: loss = 0.07786
  Ep03 step  200/13600: loss = 0.07421
  Ep03 step  300/13600: loss = 0.07230
  Ep03 step  400/13600: loss = 0.07584
  Ep03 step  500/13600: loss = 0.07683
  Ep03 step  600/13600: loss = 0.07803
  Ep03 step  700/13600: loss = 0.07458
  Ep03 step  800/13600: loss = 0.07904
  Ep03 step  900/13600: loss = 0.07553
  Ep03 step 1000/13600: loss = 0.07634
  Ep03 step 1100/13600: loss = 0.07478
  Ep03 step 1200/13600: loss = 0.07744
  Ep03 step 1300/13600: loss = 0.07490
  Ep03 step 1400/13600: loss = 0.07439
  Ep03 step 1500/13600: loss = 0.07509
  Ep03 step 1600/13600: loss = 0.07103
  Ep03 step 1700/13600: loss = 0.07145
  Ep03 step 1800/13600: loss = 0.07512
  Ep03 step 1900/13600: loss = 0.07131
  Ep03 step 2000/13600: loss = 0.07579
  Ep03 step 2100/13600: loss = 0.07141
  Ep03 step 2200/13600: loss = 0.07392
  Ep03 step 2300/13600: loss = 0.07241
  Ep03 step 2400/13600: loss = 0.07149
  Ep03 step 2500/13600: loss = 0.07236
  Ep03 step 2600/13600: loss = 0.07406
  Ep03 step 2700/13600: loss = 0.07642
  Ep03 step 2800/13600: loss = 0.07594
  Ep03 step 2900/13600: loss = 0.07408
  Ep03 step 3000/13600: loss = 0.07244
  Ep03 step 3100/13600: loss = 0.07411
  Ep03 step 3200/13600: loss = 0.07777
  Ep03 step 3300/13600: loss = 0.07695
  Ep03 step 3400/13600: loss = 0.07187
  Ep03 step 3500/13600: loss = 0.07726
  Ep03 step 3600/13600: loss = 0.07099
  Ep03 step 3700/13600: loss = 0.07910
  Ep03 step 3800/13600: loss = 0.07429
  Ep03 step 3900/13600: loss = 0.07261
  Ep03 step 4000/13600: loss = 0.07349
  Ep03 step 4100/13600: loss = 0.07786
  Ep03 step 4200/13600: loss = 0.07523
  Ep03 step 4300/13600: loss = 0.07550
  Ep03 step 4400/13600: loss = 0.07847
  Ep03 step 4500/13600: loss = 0.07372
  Ep03 step 4600/13600: loss = 0.07381
  Ep03 step 4700/13600: loss = 0.07524
  Ep03 step 4800/13600: loss = 0.07435
  Ep03 step 4900/13600: loss = 0.07598
  Ep03 step 5000/13600: loss = 0.07178
  Ep03 step 5100/13600: loss = 0.07662
  Ep03 step 5200/13600: loss = 0.07509
  Ep03 step 5300/13600: loss = 0.07315
  Ep03 step 5400/13600: loss = 0.07712
  Ep03 step 5500/13600: loss = 0.07130
  Ep03 step 5600/13600: loss = 0.07211
  Ep03 step 5700/13600: loss = 0.06888
  Ep03 step 5800/13600: loss = 0.07631
  Ep03 step 5900/13600: loss = 0.07498
  Ep03 step 6000/13600: loss = 0.07280
  Ep03 step 6100/13600: loss = 0.07979
  Ep03 step 6200/13600: loss = 0.07548
  Ep03 step 6300/13600: loss = 0.07570
  Ep03 step 6400/13600: loss = 0.06956
  Ep03 step 6500/13600: loss = 0.07133
  Ep03 step 6600/13600: loss = 0.07376
  Ep03 step 6700/13600: loss = 0.06948
  Ep03 step 6800/13600: loss = 0.07367
  Ep03 step 6900/13600: loss = 0.07595
  Ep03 step 7000/13600: loss = 0.07107
  Ep03 step 7100/13600: loss = 0.07373
